City,Country,Lat,Lon,Date,Max Temp (cs),Humidity,Cloudiness,Wind Speed (mph)
Cherskiy,RU,68.75,161.3,1611760671,-31.63,84,100,1.52
Ahipara,NZ,-35.1667,173.1667,1611760465,17.12,92,30,1.13
Hasaki,JP,35.7333,140.8333,1611760671,5.0,65,40,4.63
Ushuaia,AR,-54.8,-68.3,1611760671,7.0,70,75,7.2
Portland,US,45.5234,-122.6762,1611760204,3.33,95,100,2.23
Cape Town,ZA,-33.9258,18.4232,1611760338,22.78,49,20,11.83
Tasiilaq,GL,65.6145,-37.6368,1611760671,-9.01,87,100,5.71
Lanzhou,CN,36.0564,103.7922,1611760671,-6.67,81,0,1.72
Quatre Cocos,MU,-20.2078,57.7625,1611760672,28.0,65,20,1.54
Mount Isa,AU,-20.7333,139.5,1611760672,29.0,61,42,2.57
Boa Vista,BR,2.8197,-60.6733,1611760382,30.0,51,40,7.2
Punta Arenas,CL,-53.15,-70.9167,1611760672,7.0,65,0,13.89
Barrow,US,71.2906,-156.7887,1611760672,-24.0,77,90,2.57
Kuvandyk,RU,51.4781,57.3552,1611760672,-8.2,95,66,1.33
Rikitea,PF,-23.1203,-134.9692,1611760672,26.35,73,0,6.88
Raudeberg,NO,61.9875,5.1352,1611760673,-1.67,80,20,2.57
Ponta do Sol,PT,32.6667,-17.1,1611760456,18.89,88,40,3.09
Kavieng,PG,-2.5744,150.7967,1611760673,28.5,74,70,4.39
Novobirilyussy,RU,56.9514,90.6661,1611760673,-12.83,94,100,4.32
Katobu,ID,-4.9408,122.5276,1611760442,24.92,89,100,0.45
Khatanga,RU,71.9667,102.5,1611760673,-33.43,80,1,3.88
Nhulunbuy,AU,-12.2333,136.7667,1611760673,27.0,83,100,3.6
Iranshahr,IR,27.2025,60.6848,1611760573,18.0,7,0,3.09
Honiara,SB,-9.4333,159.95,1611760674,25.73,82,99,2.09
Puerto Ayora,EC,-0.7393,-90.3518,1611760457,25.0,94,35,1.79
Sinnamary,GF,5.3833,-52.95,1611760674,27.05,74,94,5.76
Coyhaique,CL,-45.5752,-72.0662,1611760674,14.0,58,75,5.14
Acapulco de Juárez,MX,16.8634,-99.8901,1611760512,26.12,63,0,1.51
Asău,RO,46.4333,26.4,1611760536,0.0,50,100,3.54
Formiga,BR,-20.4644,-45.4264,1611760674,25.62,69,78,3.8
Mataura,NZ,-46.1927,168.8643,1611760674,11.67,76,65,10.28
Vaini,TO,-21.2,-175.2,1611760674,22.0,100,90,0.51
Kahului,US,20.8947,-156.47,1611760622,23.0,68,1,3.6
Albany,US,42.6001,-73.9662,1611760458,-0.56,67,91,1.34
Pitimbu,BR,-7.4706,-34.8086,1611760675,28.5,67,15,5.78
Lebu,CL,-37.6167,-73.65,1611760675,15.19,68,97,3.47
Humaitá,BR,-7.5061,-63.0208,1611760675,27.7,86,87,1.76
Ancud,CL,-41.8697,-73.8203,1611760454,15.0,77,75,2.57
Hilo,US,19.7297,-155.09,1611760675,21.0,78,90,3.6
Filingué,NE,14.3521,3.3168,1611760675,34.06,8,47,4.85
Brae,GB,60.3964,-1.353,1611760675,2.0,69,20,2.06
San Cristobal,VE,7.7669,-72.225,1611760389,25.57,48,46,3.51
Busselton,AU,-33.65,115.3333,1611760676,13.33,75,0,6.87
Longyearbyen,SJ,78.2186,15.6401,1611760676,-13.0,61,20,7.2
Yellowknife,CA,62.456,-114.3525,1611760676,-22.78,77,40,1.54
Rafsanjān,IR,30.4067,55.9939,1611760515,9.86,36,0,1.17
Jamestown,US,42.097,-79.2353,1611760676,-3.33,93,90,4.39
Bethel,US,41.3712,-73.414,1611760676,0.0,86,90,1.54
Thompson,CA,55.7435,-97.8558,1611760676,-33.0,75,75,1.77
Chokurdakh,RU,70.6333,147.9167,1611760676,-29.82,86,100,5.82
Sosnovo-Ozerskoye,RU,52.5249,111.5418,1611760677,-32.58,82,1,2.68
Dikson,RU,73.5069,80.5464,1611760677,-29.41,87,100,3.43
Hermanus,ZA,-34.4187,19.2345,1611760677,22.22,53,89,2.24
Sitka,US,57.0531,-135.33,1611760677,-4.0,42,1,1.54
Banjar,ID,-8.19,114.9675,1611760677,27.0,89,75,5.66
Bredasdorp,ZA,-34.5322,20.0403,1611760677,22.0,40,84,4.12
San Quintín,MX,30.4833,-115.95,1611760677,9.55,59,0,0.78
Hobart,AU,-42.8794,147.3294,1611760503,13.0,50,90,2.06
Assiut,EG,27.181,31.1837,1611760678,23.0,31,0,5.14
Cap Malheureux,MU,-19.9842,57.6142,1611760678,26.11,80,13,1.95
Mount Gambier,AU,-37.8333,140.7667,1611760678,13.0,94,0,2.57
Sovetskiy,RU,61.3614,63.5842,1611760678,-16.8,94,100,2.97
Esperance,AU,-33.8667,121.9,1611760678,17.0,94,90,5.66
Mar del Plata,AR,-38.0023,-57.5575,1611760500,22.0,56,20,7.2
New Norfolk,AU,-42.7826,147.0587,1611760464,12.78,66,77,0.03
Upernavik,GL,72.7868,-56.1549,1611760448,-17.02,91,100,2.12
Mehamn,NO,71.0357,27.8492,1611760494,-5.0,80,90,8.23
Liaozhong,CN,41.5061,122.7242,1611760679,-3.0,93,90,4.0
Norman Wells,CA,65.282,-126.8329,1611760679,-32.0,68,75,1.03
Ust-Kuyga,RU,70.0167,135.6,1611760679,-38.84,77,96,1.31
Vanavara,RU,60.34,102.2797,1611760679,-32.35,84,91,3.68
Atar,MR,20.5169,-13.0499,1611760679,34.0,18,0,6.17
Carnarvon,AU,-24.8667,113.6333,1611760679,24.0,78,0,10.29
Marsá Maţrūḩ,EG,31.3525,27.2453,1611760679,16.0,51,40,9.26
Pisco,PE,-13.7,-76.2167,1611760680,22.78,81,81,0.45
Coxim,BR,-18.5067,-54.76,1611760680,27.78,71,100,3.22
Isla Mujeres,MX,21.2311,-86.731,1611760393,27.22,81,0,6.26
Goderich,CA,43.7501,-81.7165,1611760511,-5.0,80,100,4.12
Nanortalik,GL,60.1432,-45.2371,1611760680,-4.43,90,100,1.29
Palmer,US,42.1584,-72.3287,1611760463,1.11,91,97,1.94
Butaritari,KI,3.0707,172.7902,1611760680,26.74,80,1,4.92
San Rafael del Sur,NI,11.8485,-86.4384,1611760680,28.24,54,0,5.99
Aripuanã,BR,-9.1667,-60.6333,1611760680,26.05,94,100,1.19
Tran,BG,42.8353,22.6517,1611760681,1.67,10,99,6.92
Saskylakh,RU,71.9167,114.0833,1611760681,-40.13,80,73,1.12
Kidal,ML,18.4411,1.4078,1611760681,31.12,10,0,6.33
Klaksvík,FO,62.2266,-6.589,1611760681,0.0,86,65,3.6
George Town,MY,5.4112,100.3354,1611760682,26.11,94,40,1.03
Vardø,NO,70.3705,31.1107,1611760682,-4.0,74,75,12.35
Ayr,GB,55.4627,-4.6339,1611760682,9.0,93,75,4.12
Kumul,CN,42.8,93.45,1611760641,-5.59,79,34,2.12
Huai Yot,TH,7.7893,99.6348,1611760682,23.99,87,96,2.63
Luang Prabang,LA,19.8856,102.1347,1611760682,20.98,53,6,0.27
Antofagasta,CL,-23.65,-70.4,1611760683,23.89,68,20,6.17
Mlonggo,ID,-6.5333,110.7,1611760684,25.94,87,100,7.86
Tuktoyaktuk,CA,69.4541,-133.0374,1611760684,-26.0,76,75,4.63
Vestmannaeyjar,IS,63.4427,-20.2734,1611760684,2.0,69,75,16.98
Saint-Philippe,RE,-21.3585,55.7679,1611760684,28.0,69,0,5.14
Torbay,CA,47.6666,-52.7314,1611760684,0.0,80,75,8.23
Ribeira Grande,PT,38.5167,-28.7,1611760684,16.74,79,70,13.25
Faya,SA,18.3851,42.4509,1611760684,19.0,59,20,5.14
Mamakan,RU,57.8161,114.0028,1611760684,-37.69,75,47,0.12
Kawalu,ID,-7.3817,108.2082,1611760684,22.3,88,100,1.17
Winnemucca,US,40.973,-117.7357,1611760441,-0.88,90,100,3.65
Yeppoon,AU,-23.1333,150.7333,1611760516,26.0,73,40,3.09
São Miguel do Araguaia,BR,-13.275,-50.1628,1611760685,29.85,67,91,1.5
Kavaratti,IN,10.5669,72.642,1611760504,27.39,67,15,3.93
Pacatuba,BR,-3.9842,-38.6203,1611760613,31.0,62,40,7.2
Arraial do Cabo,BR,-22.9661,-42.0278,1611760685,32.0,45,0,6.17
Santa Maria,BR,-29.6842,-53.8069,1611760685,25.0,88,90,3.09
Alofi,NU,-19.0595,-169.9187,1611760686,24.0,94,100,1.54
Port Alfred,ZA,-33.5906,26.891,1611760686,21.67,84,97,2.24
Derzhavīnsk,KZ,51.1,66.3167,1611760686,-8.99,97,98,4.74
Itarema,BR,-2.9248,-39.9167,1611760530,31.5,54,15,6.54
Bambous Virieux,MU,-20.3428,57.7575,1611760412,28.0,65,20,1.54
Naryan-Mar,RU,67.6713,53.087,1611760686,-22.0,87,100,6.79
Sterling,US,39.0062,-77.4286,1611760546,4.44,70,75,4.63
Ibirama,BR,-27.0569,-49.5178,1611760686,33.89,73,100,2.39
Poronaysk,RU,49.2167,143.1167,1611760686,-11.22,95,100,8.45
Paracatu,BR,-17.2222,-46.8747,1611760687,27.42,60,86,3.51
Kaitangata,NZ,-46.2817,169.8464,1611760687,12.78,74,12,3.58
Åkersberga,SE,59.4794,18.2997,1611760687,-4.0,93,75,3.09
Chernyshevskiy,RU,63.0128,112.4714,1611760687,-43.1,81,30,0.82
Caravelas,BR,-17.7125,-39.2481,1611760687,29.8,53,100,4.37
Sørland,NO,67.667,12.6934,1611760687,1.0,69,40,11.0
Virginia Beach,US,36.8529,-75.978,1611760571,7.22,99,69,0.45
Bluff,NZ,-46.6,168.3333,1611760687,11.67,76,84,10.28
Saint Paul Harbor,US,57.79,-152.4072,1611760467,-1.0,80,1,0.13
Verkhnetulomskiy,RU,68.6073,31.7962,1611760688,-7.0,86,75,6.0
Saint George,US,37.1041,-113.5841,1611760601,2.22,55,90,7.72
Nikolskoye,RU,59.7035,30.7861,1611760688,1.0,86,20,1.0
Albania,AL,41.0,20.0,1611760688,8.0,34,40,5.14
Japura,ID,-0.3167,102.35,1611760688,24.37,85,100,1.17
Venezuela,VE,8.0,-66.0,1611760688,29.94,50,87,8.9
Polunochnoye,RU,60.8697,60.4153,1611760688,-12.74,97,97,1.54
College,US,64.8569,-147.8028,1611760449,-20.0,62,1,0.82
Taoudenni,ML,22.6783,-3.9836,1611760688,29.98,13,0,7.3
Värnamo,SE,57.186,14.04,1611760688,1.11,97,100,0.45
Władysławowo,PL,54.7909,18.4009,1611760689,1.67,80,0,3.09
Ruidoso,US,33.3317,-105.673,1611760689,-5.0,62,1,5.14
Manggar,ID,-2.8833,108.2667,1611760390,25.71,84,100,3.06
Kalabo,ZM,-14.97,22.6814,1611760689,22.25,80,86,3.22
Vao,NC,-22.6667,167.4833,1611760419,25.31,83,100,9.48
São Filipe,CV,14.8961,-24.4956,1611760690,24.96,60,0,4.13
Kapaa,US,22.0752,-159.319,1611760690,23.33,88,40,7.2
Port Elizabeth,ZA,-33.918,25.5701,1611760417,23.0,73,20,9.77
Cockburn Town,TC,21.4612,-71.1419,1611760690,24.27,76,1,8.24
Kruisfontein,ZA,-34.0033,24.7314,1611760690,20.0,85,62,3.58
Jurm,AF,36.8648,70.8342,1611760690,-4.15,65,0,2.38
Bathsheba,BB,13.2167,-59.5167,1611760690,29.0,61,40,10.8
Lagoa,PT,39.05,-27.9833,1611760690,16.02,81,36,12.39
Maceió,BR,-9.6658,-35.7353,1611760685,24.0,94,75,3.6
Sergeevka,KZ,53.88,67.4158,1611760691,-5.87,97,85,5.15
Acaraú,BR,-2.8856,-40.12,1611760691,31.24,54,31,6.38
Najrān,SA,17.4924,44.1277,1611760691,22.0,23,0,5.14
Grindavik,IS,63.8424,-22.4338,1611760691,0.0,55,75,10.8
Sakmara,RU,51.9844,55.3338,1611760691,-12.0,92,0,2.0
Airai,TL,-8.9266,125.4092,1611760691,16.63,100,100,1.47
Qaanaaq,GL,77.484,-69.3632,1611760691,-26.25,64,0,2.54
Salinas,US,36.6777,-121.6555,1611760536,12.0,93,90,6.69
Salalah,OM,17.0151,54.0924,1611760692,24.0,73,0,3.09
East London,ZA,-33.0153,27.9116,1611760692,19.0,94,75,5.14
Tuatapere,NZ,-46.1333,167.6833,1611760692,11.67,76,99,10.28
